id,loss
4,1648.462411
6,2047.260155
9,7291.622145
12,4742.526175
15,775.710601
17,2254.624140
21,1881.270790
28,884.560385
32,2377.640363
43,2349.058422
46,2216.486569
50,1286.477255
54,1335.996984
62,2221.746684
70,1985.547120
71,4733.506600
75,2053.710697
77,1600.004543
81,3198.614054
83,2158.330681
87,1767.750229
97,2113.899388
103,1587.139751
119,1278.669604
120,1197.507091
127,1378.532847
138,3773.528515
141,2491.313007
148,1038.553677
150,1878.665921
151,2025.704099
158,1496.721213
160,4538.547992
165,2579.803489
168,3878.294753
169,3700.646532
177,2621.960317
178,3610.870988
184,1630.220489
194,6829.220004
198,1537.438554
203,4449.463117
211,1888.568665
217,1156.525727
219,1191.702031
221,3132.032295
227,2251.834857
230,1024.045079
235,2032.759893
240,1061.327610
243,2801.704886
249,4870.261736
253,1632.234606
258,1232.982718
261,1488.137999
263,3729.223878
264,3134.002307
265,4437.106853
268,1468.730442
271,1227.416734
274,5350.646024
275,1028.325092
279,1563.525737
282,1477.900776
286,2150.975730
288,1497.021611
294,2380.825174
296,1071.085687
297,1381.186740
300,887.383358
303,5948.749643
314,1208.457182
315,2808.110801
321,2151.958808
323,3877.100508
330,2545.905493
341,1509.573375
342,3310.899496
352,1673.750618
353,2142.325680
360,5938.220495
361,2144.351738
362,2617.100689
366,951.425271
372,2480.672891
376,3238.384876
377,1981.507190
379,1551.340584
380,3154.049495
387,1421.311421
392,2199.180649
394,6968.267067
395,1327.890672
397,1436.615035
407,4333.977376
411,6059.471349
416,2380.233688
417,1743.309164
419,3692.730421
428,4829.882115
431,2525.527465
436,6458.157507
438,1336.297312
445,6250.478531
446,5599.845401
455,1424.012006
456,1136.616134
461,1151.227850
463,1658.757568
464,3183.306397
466,2187.492575
467,1834.735767
470,1320.218169
475,1578.841915
482,3056.213152
490,4036.629635
496,1406.197805
497,3693.924614
508,2694.983375
510,2222.190873
512,2635.578372
513,2648.196692
523,2565.233442
531,3065.375319
532,2034.672877
533,1487.484357
537,1436.439854
544,4272.855276
547,2644.161891
556,6513.934366
565,1484.035280
566,1533.597483
571,1181.812153
573,1858.253107
574,1175.993924
581,1893.652349
585,2030.336368
589,2815.448533
597,1656.866744
601,2900.118823
602,2268.680842
613,1859.943735
616,1661.535048
619,1877.812920
622,2224.129233
623,2091.297961
629,1867.558723
634,1808.863528
638,702.763794
642,1221.811906
643,1927.517305
645,1132.601160
648,4988.175654
652,1953.114935
664,1022.249593
666,2274.317071
672,866.691635
676,2038.136675
678,3575.377717
682,1794.163511
686,2700.370377
688,1758.924012
689,1364.338688
690,1872.990665
692,8544.551496
695,1677.906202
697,4225.138175
698,1960.029043
706,2136.894518
708,1798.941619
712,2457.741020
715,3494.169813
717,1148.245327
725,3376.452002
729,1194.299506
737,1301.742680
739,3669.422672
747,3265.426812
753,2397.725596
758,2849.218204
759,2361.117600
763,1798.304673
773,3153.124911
774,2345.690768
776,1531.339864
788,5125.061306
790,3514.902093
794,1082.227374
801,3009.897004
802,1501.777943
805,1765.455218
809,3953.860774
812,1771.994122
825,1923.773782
828,1367.100020
830,2059.388872
833,1226.523613
850,4513.650591
852,5466.603977
862,2078.023105
863,1480.906076
864,1900.000443
865,2762.690613
868,5108.194657
872,1910.925705
879,3886.254397
880,1060.848675
883,1601.412409
886,1360.423357
923,1528.491651
924,1218.842347
932,1136.068732
945,4893.999396
947,5145.356224
948,2182.137765
955,2871.144672
963,3928.432780
979,1143.543530
989,1733.483660
994,3025.983064
995,1915.100760
998,1262.759963
1000,3628.849447
1018,1834.548618
1019,1504.011123
1028,1708.871084
1034,1194.938350
1038,1878.755603
1040,1179.343725
1042,1360.777483
1057,5376.384399
1058,2352.085772
1063,1571.595120
1066,4169.164120
1071,4094.488204
1073,3288.119191
1074,2262.407041
1077,3249.687197
1080,5413.530714
1088,876.965371
1096,953.459178
1097,6395.859104
1105,3639.983511
1115,2083.023573
1116,2223.447727
1122,2004.833712
1130,4058.482827
1133,1090.788648
1137,1740.451047
1140,2072.443732
1143,7625.330271
1149,3755.423715
1150,958.046854
1153,1255.637019
1157,1164.902474
1180,832.915234
1183,1330.178240
1188,1946.060785
1193,1256.025968
1200,763.010030
1209,3109.154139
1214,2051.324563
1219,2359.950375
1223,4385.093991
1227,921.858835
1228,1543.088934
1229,4116.304884
1233,1489.638174
1238,3931.211572
1239,1780.534195
1241,3312.336661
1243,2044.156280
1244,1220.104207
1245,3537.804894
1277,3555.456920
1279,2417.664538
1292,7636.518667
1293,2050.560511
1299,8231.125618
1304,2239.164745
1313,3208.529647
1328,1964.432221
1330,1244.114314
1334,1406.263562
1335,1237.847707
1336,4909.033638
1341,1172.853490
1344,1393.891315
1351,1152.343901
1352,1969.874178
1354,1665.676817
1368,3506.838519
1373,1341.793437
1375,886.911791
1381,1660.652923
1384,1843.353707
1385,3146.263128
1388,5930.478283
1401,2574.564967
